ts_open,mode,dir,entry,actual_pnl,actual_reason,LADDER_pnl,LADDER_reason,RATCHET_pnl,RATCHET_reason
2026-06-26T14:00:02Z,EMA_PULLBACK_L,BUY,13228.9,-19.95,SL hit,-12.0,INIT_SL,-12.0,SL
2026-06-29T12:40:03Z,EMA_PULLBACK_L,BUY,13231.8,5.35,External/manual close detected (IG open positions),-2.349999999998545,LADDER_REJECTION,30.150000000001455,EXHAUSTION
2026-06-29T14:55:00Z,EMA_PULLBACK_L,BUY,13243.01795,-19.95,SL hit,5.732050000000527,LADDER_ASSESS_EXPIRED,16.83204999999907,FLAT_2040
2026-06-30T11:15:04Z,EMA_PULLBACK_S,SELL,13228.8,8.85,External/manual close detected (IG open positions),3.149999999997817,LADDER_ASSESS_EXPIRED,0.0,SL
2026-06-30T12:25:02Z,EMA_PULLBACK_S,SELL,13219.55767,-15.8,STRUCTURE_EXIT:structure_flip_up: last_close=13228.95000 > prior_5_high=13223.75000_ pnl=-15.4p,-3.0923300000013114,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-07-01T06:45:02Z,EMA_PULLBACK_S,SELL,13236.0,-10.5,STRUCTURE_EXIT:structure_flip_up: last_close=13244.35000 > prior_5_high=13242.85000_ pnl=-10.0p,-12.0,INIT_SL,-12.0,SL
2026-07-01T13:10:02Z,EMA_PULLBACK_S,SELL,13235.5,-0.15,BE_STOP_POST_SCALEOUT,-12.0,INIT_SL,0.0,SL
2026-07-02T02:20:02Z,TREND_V3_L,BUY,13295.2,-7.9,TREND_V3_FLATTEN_EXHAUSTION,-12.0,INIT_SL,-12.0,SL
2026-07-02T06:30:01Z,EMA_PULLBACK_L,BUY,13295.3,40.85,TP hit,5.950000000000728,LADDER_RATCHET_STOP,15.0,SL
2026-07-02T06:50:01Z,TREND_V3_L,BUY,13315.5,-4.3,TREND_V3_FLATTEN_EXHAUSTION,-12.0,INIT_SL,-12.0,SL
2026-07-02T07:30:02Z,TREND_V3_L,BUY,13323.7,12.45,TP hit,6.25,LADDER_RATCHET_STOP,15.0,SL
2026-07-02T07:45:02Z,TREND_V3_L,BUY,13334.2,16.45,TP hit,-4.25,LADDER_RATCHET_STOP,0.0,SL
